frame.time_epoch,ip.src,ip.dst,dns.qry.name,http.host,tls.handshake.extensions_server_name
1762227692.879691000,10.157.172.144,10.157.172.129,optimizationguide-pa.googleapis.com.mshome.net,,
1762227692.924599000,10.157.172.129,10.157.172.144,optimizationguide-pa.googleapis.com.mshome.net,,
1762227692.939913000,10.157.172.144,10.157.172.129,accounts.google.com,,
1762227692.947031000,10.157.172.144,10.157.172.129,accounts.google.com,,
1762227692.989530000,10.157.172.129,10.157.172.144,accounts.google.com,,
1762227692.989530000,10.157.172.129,10.157.172.144,accounts.google.com,,
1762227692.991438000,10.157.172.144,142.251.43.2,,,www.googleadservices.com
1762227692.992302000,10.157.172.144,142.251.222.74,,,optimizationguide-pa.googleapis.com
1762227693.012422000,10.157.172.144,10.157.172.129,accounts.google.com.mshome.net,,
1762227693.081182000,10.157.172.129,10.157.172.144,accounts.google.com.mshome.net,,
1762227693.090006000,10.157.172.144,74.125.68.84,,,accounts.google.com
1762227693.139743000,10.157.172.144,142.251.43.2,,,www.googleadservices.com
1762227693.140373000,10.157.172.144,142.251.222.74,,,optimizationguide-pa.googleapis.com
1762227693.190584000,10.157.172.144,10.157.172.129,www.gstatic.com,,
1762227693.191763000,10.157.172.144,74.125.68.84,,,accounts.google.com
1762227693.194929000,10.157.172.129,10.157.172.144,www.gstatic.com,,
1762227693.386312000,10.157.172.144,142.250.207.163,,,www.gstatic.com
1762227693.387218000,10.157.172.144,10.157.172.129,play-fe.googleapis.com,,
1762227693.422871000,10.157.172.129,10.157.172.144,play-fe.googleapis.com,,
1762227693.436129000,10.157.172.144,10.157.172.129,chatgpt.com,,
1762227693.440903000,10.157.172.144,10.157.172.129,chatgpt.com,,
1762227693.448835000,10.157.172.144,142.250.193.110,,,play-fe.googleapis.com
1762227693.515502000,,,chatgpt.com,,
1762227693.515647000,,,chatgpt.com,,
1762227693.527152000,10.157.172.129,10.157.172.144,chatgpt.com,,
1762227693.528188000,10.157.172.129,10.157.172.144,chatgpt.com,,
1762227693.532329000,,,chatgpt.com,,
1762227693.552014000,,,chatgpt.com,,
1762227693.572896000,10.157.172.144,10.157.172.129,chatgpt.com.mshome.net,,
1762227693.626446000,,,chatgpt.com.mshome.net,,
1762227693.631501000,10.157.172.129,10.157.172.144,chatgpt.com.mshome.net,,
1762227693.731803000,,,chatgpt.com.mshome.net,,
1762227693.737038000,10.157.172.144,104.18.32.47,,,chatgpt.com
1762227693.989245000,10.157.172.144,142.251.43.2,,,www.googleadservices.com
